Country,Sex,Year,reading,mathematics,science,unemployed_and_not_in_school_15_19,Gini
Norway,Female,2020,NA,NA,NA,2.8,0.263
Norway,Female,2021,NA,NA,NA,NA,0.28500000000000003
Poland,Male,2005,NA,NA,NA,2.2,0.327
Poland,Male,2008,NA,NA,NA,2,0.307
Poland,Male,2010,NA,NA,NA,4.1,0.304
Poland,Male,2011,NA,NA,NA,4.2,0.301
Poland,Male,2013,NA,NA,NA,4,0.29900000000000004
Poland,Male,2014,NA,NA,NA,4.5,0.29700000000000004
Poland,Male,2016,NA,NA,NA,5.7,0.28500000000000003
Poland,Male,2017,NA,NA,NA,2.9,0.275
Poland,Male,2019,NA,NA,NA,3.2,0.268
Poland,Male,2020,NA,NA,NA,3.1,0.265
Poland,Female,2005,NA,NA,NA,1.2,0.327
Poland,Female,2008,NA,NA,NA,2.8,0.307
Poland,Female,2010,NA,NA,NA,3.1,0.304
Poland,Female,2011,NA,NA,NA,3.6,0.301
Poland,Female,2013,NA,NA,NA,2.8,0.29900000000000004
Poland,Female,2014,NA,NA,NA,3.5,0.29700000000000004
Poland,Female,2016,NA,NA,NA,5.4,0.28500000000000003
Poland,Female,2017,NA,NA,NA,2.8,0.275
Poland,Female,2019,NA,NA,NA,3,0.268
Poland,Female,2020,NA,NA,NA,2.4,0.265
Portugal,Male,2005,NA,NA,NA,8.1,0.378
Portugal,Male,2008,NA,NA,NA,8,0.354
Portugal,Male,2010,NA,NA,NA,8.6,0.34099999999999997
Portugal,Male,2011,NA,NA,NA,8.7,0.33699999999999997
Portugal,Male,2013,NA,NA,NA,8.5,0.34099999999999997
Portugal,Male,2014,NA,NA,NA,7.2,0.33799999999999997
Portugal,Male,2016,NA,NA,NA,4.9,0.33099999999999996
Portugal,Male,2017,NA,NA,NA,4.5,0.32
Portugal,Male,2019,NA,NA,NA,3.6,0.31
Portugal,Male,2020,NA,NA,NA,3,0.327
Portugal,Female,2005,NA,NA,NA,8.8,0.378
Portugal,Female,2008,NA,NA,NA,6.1,0.354
Portugal,Female,2010,NA,NA,NA,6.2,0.34099999999999997
Portugal,Female,2011,NA,NA,NA,7.3,0.33699999999999997
Portugal,Female,2013,NA,NA,NA,5.3,0.34099999999999997
Portugal,Female,2014,NA,NA,NA,4.9,0.33799999999999997
Portugal,Female,2016,NA,NA,NA,4.6,0.33099999999999996
Portugal,Female,2017,NA,NA,NA,4.2,0.32
Portugal,Female,2019,NA,NA,NA,4.3,0.31
Portugal,Female,2020,NA,NA,NA,3.7,0.327
Slovak Republic,Male,2005,NA,NA,NA,5.6,0.28900000000000003
Slovak Republic,Male,2008,NA,NA,NA,6,0.257
Slovak Republic,Male,2010,NA,NA,NA,4.1,0.265
Slovak Republic,Male,2011,NA,NA,NA,5.2,0.262
Slovak Republic,Male,2013,NA,NA,NA,6,0.27
Slovak Republic,Male,2014,NA,NA,NA,6.4,0.24700000000000003
Slovak Republic,Male,2016,NA,NA,NA,6.3,0.24100000000000002
Slovak Republic,Male,2017,NA,NA,NA,6.8,0.22
Slovak Republic,Male,2019,NA,NA,NA,6.1,0.222
Slovak Republic,Female,2005,NA,NA,NA,7,0.28900000000000003
Slovak Republic,Female,2008,NA,NA,NA,5.3,0.257
Slovak Republic,Female,2010,NA,NA,NA,5.1,0.265
Slovak Republic,Female,2011,NA,NA,NA,5.5,0.262
Slovak Republic,Female,2013,NA,NA,NA,4.9,0.27
Slovak Republic,Female,2014,NA,NA,NA,4.9,0.24700000000000003
Slovak Republic,Female,2016,NA,NA,NA,5.8,0.24100000000000002
Slovak Republic,Female,2017,NA,NA,NA,6.4,0.22
Slovak Republic,Female,2019,NA,NA,NA,4.8,0.222
Spain,Male,2008,NA,NA,NA,10.9,0.327
Spain,Male,2010,NA,NA,NA,15.2,0.33899999999999997
Spain,Male,2011,NA,NA,NA,13.8,0.34099999999999997
Spain,Male,2013,NA,NA,NA,12.8,0.345
Spain,Male,2014,NA,NA,NA,10.8,0.34299999999999997
Spain,Male,2016,NA,NA,NA,9.8,0.34099999999999997
Spain,Male,2017,NA,NA,NA,8.6,0.33299999999999996
Spain,Male,2019,NA,NA,NA,8.7,0.32
Spain,Male,2020,NA,NA,NA,9.4,0.329
Spain,Female,2008,NA,NA,NA,11.5,0.327
Spain,Female,2010,NA,NA,NA,11.7,0.33899999999999997
Spain,Female,2011,NA,NA,NA,11.2,0.34099999999999997
Spain,Female,2013,NA,NA,NA,9.5,0.345
Spain,Female,2014,NA,NA,NA,8.4,0.34299999999999997
Spain,Female,2016,NA,NA,NA,7.6,0.34099999999999997
Spain,Female,2017,NA,NA,NA,7.9,0.33299999999999996
Spain,Female,2019,NA,NA,NA,6.8,0.32
Spain,Female,2020,NA,NA,NA,6.7,0.329
Sweden,Male,2008,NA,NA,NA,5,0.259
Sweden,Male,2010,NA,NA,NA,6.4,0.269
Sweden,Male,2011,NA,NA,NA,4.2,0.273
Sweden,Male,2013,NA,NA,NA,4.4,0.267
Sweden,Male,2014,NA,NA,NA,4.6,0.272
Sweden,Male,2016,NA,NA,NA,NA,0.28
Sweden,Male,2017,NA,NA,NA,3.7,0.28200000000000003
Sweden,Male,2019,NA,NA,NA,NA,0.277
Sweden,Male,2020,NA,NA,NA,NA,0.276
Sweden,Male,2021,NA,NA,NA,NA,0.28600000000000003
Sweden,Female,2008,NA,NA,NA,3.7,0.259
Sweden,Female,2010,NA,NA,NA,4.1,0.269
Sweden,Female,2011,NA,NA,NA,3.9,0.273
Sweden,Female,2013,NA,NA,NA,3.7,0.267
Sweden,Female,2014,NA,NA,NA,4,0.272
Sweden,Female,2016,NA,NA,NA,NA,0.28
Sweden,Female,2017,NA,NA,NA,3.6,0.28200000000000003
Sweden,Female,2019,NA,NA,NA,NA,0.277
Sweden,Female,2020,NA,NA,NA,NA,0.276
Sweden,Female,2021,NA,NA,NA,NA,0.28600000000000003
Switzerland,Male,2008,NA,NA,NA,9.1,0.306
Switzerland,Male,2017,NA,NA,NA,6,0.29900000000000004
Switzerland,Male,2019,NA,NA,NA,5.5,0.316
Switzerland,Female,2008,NA,NA,NA,9.7,0.306
Switzerland,Female,2017,NA,NA,NA,3.3,0.29900000000000004
Switzerland,Female,2019,NA,NA,NA,3,0.316
Türkiye,Male,2010,NA,NA,NA,18,0.41700000000000004
Türkiye,Male,2011,NA,NA,NA,18.2,0.403
Türkiye,Male,2013,NA,NA,NA,16.5,0.39
Türkiye,Male,2014,NA,NA,NA,15,0.398
Türkiye,Male,2017,NA,NA,NA,11.2,0.40900000000000003
Türkiye,Male,2019,NA,NA,NA,13.2,0.41500000000000004
Türkiye,Female,2010,NA,NA,NA,34,0.41700000000000004
Türkiye,Female,2011,NA,NA,NA,31.8,0.403
Türkiye,Female,2013,NA,NA,NA,28.2,0.39
Türkiye,Female,2014,NA,NA,NA,27.3,0.398
Türkiye,Female,2017,NA,NA,NA,20.1,0.40900000000000003
Türkiye,Female,2019,NA,NA,NA,21.2,0.41500000000000004
United Kingdom,Male,2005,NA,NA,NA,9.7,0.359
United Kingdom,Male,2008,NA,NA,NA,10.3,0.369
United Kingdom,Male,2010,NA,NA,NA,10.6,0.351
United Kingdom,Male,2011,NA,NA,NA,10.4,0.354
United Kingdom,Male,2013,NA,NA,NA,10.1,0.358
United Kingdom,Male,2014,NA,NA,NA,9.1,0.356
United Kingdom,Male,2016,NA,NA,NA,8.7,0.351
United Kingdom,Male,2017,NA,NA,NA,9.6,0.357
United Kingdom,Male,2019,NA,NA,NA,10.3,0.366
United Kingdom,Male,2020,NA,NA,NA,9.9,0.355
United Kingdom,Female,2005,NA,NA,NA,9,0.359
United Kingdom,Female,2008,NA,NA,NA,9.2,0.369
United Kingdom,Female,2010,NA,NA,NA,9.4,0.351
United Kingdom,Female,2011,NA,NA,NA,8.5,0.354
United Kingdom,Female,2013,NA,NA,NA,7.9,0.358
United Kingdom,Female,2014,NA,NA,NA,7.8,0.356
United Kingdom,Female,2016,NA,NA,NA,8.2,0.351
United Kingdom,Female,2017,NA,NA,NA,7.9,0.357
United Kingdom,Female,2019,NA,NA,NA,6.9,0.366
United Kingdom,Female,2020,NA,NA,NA,8.3,0.355
United States,Male,2005,NA,NA,NA,7.8,0.38
United States,Male,2008,NA,NA,NA,7.9,0.378
United States,Male,2010,NA,NA,NA,10,0.38
United States,Male,2011,NA,NA,NA,8.2,0.389
United States,Male,2013,NA,NA,NA,9.1,0.396
United States,Male,2014,NA,NA,NA,8.9,0.394
United States,Male,2016,NA,NA,NA,9,0.391
United States,Male,2017,NA,NA,NA,7.8,0.39
United States,Male,2019,NA,NA,NA,8.6,0.395
United States,Male,2020,NA,NA,NA,8.3,0.377
United States,Male,2021,NA,NA,NA,NA,0.375
United States,Female,2005,NA,NA,NA,8,0.38
United States,Female,2008,NA,NA,NA,8.1,0.378
United States,Female,2010,NA,NA,NA,8.7,0.38
United States,Female,2011,NA,NA,NA,8.3,0.389
United States,Female,2013,NA,NA,NA,8.6,0.396
United States,Female,2014,NA,NA,NA,8.3,0.394
United States,Female,2016,NA,NA,NA,8.1,0.391
United States,Female,2017,NA,NA,NA,7.1,0.39
United States,Female,2019,NA,NA,NA,7.1,0.395
United States,Female,2020,NA,NA,NA,7.1,0.377
United States,Female,2021,NA,NA,NA,NA,0.375
Brazil,Male,2011,NA,NA,NA,11.6,0.48200000000000004
Brazil,Male,2013,NA,NA,NA,12.1,0.46900000000000003
Brazil,Male,2016,NA,NA,NA,14.2,0.48100000000000004
Brazil,Female,2011,NA,NA,NA,14.4,0.48200000000000004
Brazil,Female,2013,NA,NA,NA,19.4,0.46900000000000003
Brazil,Female,2016,NA,NA,NA,21.3,0.48100000000000004
Chile,Male,2011,NA,NA,NA,13.5,0.47100000000000003
Chile,Male,2013,NA,NA,NA,10.2,0.465
Chile,Male,2017,NA,NA,NA,9.9,0.46
Chile,Female,2011,NA,NA,NA,19,0.47100000000000003
Chile,Female,2013,NA,NA,NA,15.4,0.465
Chile,Female,2017,NA,NA,NA,13.6,0.46
Costa Rica,Male,2013,NA,NA,NA,14.2,0.494
Costa Rica,Male,2014,NA,NA,NA,14.1,0.48500000000000004
Costa Rica,Male,2016,NA,NA,NA,16.8,0.48400000000000004
Costa Rica,Male,2017,NA,NA,NA,18.2,0.48000000000000004
Costa Rica,Male,2019,NA,NA,NA,17.9,0.47800000000000004
Costa Rica,Male,2020,NA,NA,NA,12.3,0.497
Costa Rica,Male,2021,NA,NA,NA,NA,0.48700000000000004
Costa Rica,Female,2013,NA,NA,NA,22.1,0.494
Costa Rica,Female,2014,NA,NA,NA,17.7,0.48500000000000004
Costa Rica,Female,2016,NA,NA,NA,21.9,0.48400000000000004
Costa Rica,Female,2017,NA,NA,NA,22.3,0.48000000000000004
Costa Rica,Female,2019,NA,NA,NA,17.9,0.47800000000000004
Costa Rica,Female,2020,NA,NA,NA,15.1,0.497
Costa Rica,Female,2021,NA,NA,NA,NA,0.48700000000000004
Estonia,Male,2005,NA,NA,NA,4.2,0.33499999999999996
Estonia,Male,2008,NA,NA,NA,4.6,0.313
Estonia,Male,2010,NA,NA,NA,6.5,0.317
Estonia,Male,2011,NA,NA,NA,7,0.323
Estonia,Male,2013,NA,NA,NA,5.8,0.356
Estonia,Male,2014,NA,NA,NA,7.5,0.346
Estonia,Male,2016,NA,NA,NA,3.1,0.314
Estonia,Male,2017,NA,NA,NA,7.5,0.309
Estonia,Male,2019,NA,NA,NA,3.7,0.305
Estonia,Male,2020,NA,NA,NA,4.7,0.305
Estonia,Female,2005,NA,NA,NA,6.2,0.33499999999999996
Estonia,Female,2008,NA,NA,NA,5.1,0.313
Estonia,Female,2010,NA,NA,NA,5.7,0.317
Estonia,Female,2011,NA,NA,NA,5.8,0.323
Estonia,Female,2013,NA,NA,NA,3.4,0.356
Estonia,Female,2014,NA,NA,NA,6.4,0.346
Estonia,Female,2016,NA,NA,NA,NA,0.314
Estonia,Female,2017,NA,NA,NA,3.9,0.309
Estonia,Female,2019,NA,NA,NA,3.2,0.305
Estonia,Female,2020,NA,NA,NA,3.3,0.305
Israel,Male,2005,NA,NA,NA,27.4,0.378
Israel,Male,2008,NA,NA,NA,22.1,0.371
Israel,Male,2010,NA,NA,NA,24,0.376
Israel,Male,2011,NA,NA,NA,24.4,0.371
Israel,Male,2013,NA,NA,NA,9.4,0.36
Israel,Male,2014,NA,NA,NA,8.2,0.365
Israel,Male,2016,NA,NA,NA,8.6,0.346
Israel,Male,2017,NA,NA,NA,6.9,0.344
Israel,Male,2019,NA,NA,NA,9.3,0.34199999999999997
Israel,Male,2020,NA,NA,NA,10.1,0.33999999999999997
Israel,Female,2005,NA,NA,NA,25.5,0.378
Israel,Female,2008,NA,NA,NA,22.4,0.371
Israel,Female,2010,NA,NA,NA,23.1,0.376
Israel,Female,2011,NA,NA,NA,24,0.371
Israel,Female,2013,NA,NA,NA,8.7,0.36
Israel,Female,2014,NA,NA,NA,7.4,0.365
Israel,Female,2016,NA,NA,NA,6.6,0.346
Israel,Female,2017,NA,NA,NA,8,0.344
Israel,Female,2019,NA,NA,NA,7.1,0.34199999999999997
Israel,Female,2020,NA,NA,NA,7.8,0.33999999999999997
Latvia,Male,2005,NA,NA,NA,6.1,0.391
Latvia,Male,2008,NA,NA,NA,7.3,0.375
Latvia,Male,2010,NA,NA,NA,6.6,0.346
Latvia,Male,2011,NA,NA,NA,6.5,0.351
Latvia,Male,2013,NA,NA,NA,3.4,0.351
Latvia,Male,2014,NA,NA,NA,3.9,0.349
Latvia,Male,2016,NA,NA,NA,5.2,0.346
Latvia,Male,2017,NA,NA,NA,3.5,0.355
Latvia,Male,2019,NA,NA,NA,3.7,0.344
Latvia,Male,2020,NA,NA,NA,5.1,0.355
Latvia,Male,2021,NA,NA,NA,NA,0.34299999999999997
Latvia,Female,2005,NA,NA,NA,8,0.391
Latvia,Female,2008,NA,NA,NA,4.8,0.375
Latvia,Female,2010,NA,NA,NA,6.2,0.346
Latvia,Female,2011,NA,NA,NA,8.2,0.351
Latvia,Female,2013,NA,NA,NA,3,0.351
Latvia,Female,2014,NA,NA,NA,3.5,0.349
Latvia,Female,2016,NA,NA,NA,1.8,0.346
Latvia,Female,2017,NA,NA,NA,NA,0.355
Latvia,Female,2019,NA,NA,NA,NA,0.344
Latvia,Female,2020,NA,NA,NA,NA,0.355
Latvia,Female,2021,NA,NA,NA,NA,0.34299999999999997
Lithuania,Male,2005,NA,NA,NA,2.4,0.352
Lithuania,Male,2010,NA,NA,NA,5.2,0.329
Lithuania,Male,2014,NA,NA,NA,3.3,0.38
Lithuania,Male,2016,NA,NA,NA,NA,0.378
Lithuania,Male,2017,NA,NA,NA,3.4,0.374
Lithuania,Male,2019,NA,NA,NA,3.7,0.357
Lithuania,Male,2020,NA,NA,NA,2.8,0.357
Lithuania,Female,2005,NA,NA,NA,2.4,0.352
Lithuania,Female,2010,NA,NA,NA,2.7,0.329
Lithuania,Female,2014,NA,NA,NA,2.1,0.38
Lithuania,Female,2016,NA,NA,NA,NA,0.378
Lithuania,Female,2017,NA,NA,NA,1.1,0.374
Lithuania,Female,2019,NA,NA,NA,2.3,0.357
Lithuania,Female,2020,NA,NA,NA,1.8,0.357
Russia,Male,2016,NA,NA,NA,5.9,0.33099999999999996
Russia,Male,2017,NA,NA,NA,NA,0.317
Russia,Female,2016,NA,NA,NA,5.7,0.33099999999999996
Russia,Female,2017,NA,NA,NA,NA,0.317
Slovenia,Male,2005,NA,NA,NA,5.2,0.24000000000000002
Slovenia,Male,2008,NA,NA,NA,3.9,0.234
Slovenia,Male,2010,NA,NA,NA,3.8,0.24500000000000002
Slovenia,Male,2011,NA,NA,NA,4.8,0.24300000000000002
Slovenia,Male,2013,NA,NA,NA,4.9,0.254
Slovenia,Male,2014,NA,NA,NA,5.4,0.251
Slovenia,Male,2016,NA,NA,NA,4.3,0.24400000000000002
Slovenia,Male,2017,NA,NA,NA,4.2,0.24300000000000002
Slovenia,Male,2019,NA,NA,NA,4.9,0.24600000000000002
Slovenia,Male,2020,NA,NA,NA,2.8,0.23800000000000002
Slovenia,Female,2005,NA,NA,NA,4.5,0.24000000000000002
Slovenia,Female,2008,NA,NA,NA,4.9,0.234
Slovenia,Female,2010,NA,NA,NA,2.5,0.24500000000000002
Slovenia,Female,2011,NA,NA,NA,1.9,0.24300000000000002
Slovenia,Female,2013,NA,NA,NA,2.1,0.254
Slovenia,Female,2014,NA,NA,NA,3.6,0.251
Slovenia,Female,2016,NA,NA,NA,1.5,0.24400000000000002
Slovenia,Female,2017,NA,NA,NA,2.6,0.24300000000000002
Slovenia,Female,2019,NA,NA,NA,2.6,0.24600000000000002
Slovenia,Female,2020,NA,NA,NA,3.8,0.23800000000000002
South Africa,Male,2015,NA,NA,NA,12.7,0.626
South Africa,Male,2017,NA,NA,NA,12.5,0.618
South Africa,Female,2015,NA,NA,NA,14.9,0.626
South Africa,Female,2017,NA,NA,NA,15,0.618
